variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
ab_queue,8192,3,5,3.25108,2.4463,6.9826,12.6893,316.04,1134876,3fec8a9,2026-08-24T11:49:10Z
ab_partial_select,8192,3,1,3.21602,2.44385,7.18019,12.8501,316.776,1134636,3fec8a9,2026-08-24T11:49:26Z
ab_partial_select,8192,3,2,3.33806,2.57414,7.09541,13.0171,316.776,1134636,3fec8a9,2026-08-24T11:49:39Z
ab_partial_select,8192,3,3,3.25939,2.44059,6.96555,12.675,316.776,1134636,3fec8a9,2026-08-24T11:49:52Z
ab_partial_select,8192,3,4,3.21397,2.43509,7.06577,12.7241,316.776,1134636,3fec8a9,2026-08-24T11:50:05Z
ab_partial_select,8192,3,5,3.23946,2.41204,6.85043,12.5111,316.776,1134636,3fec8a9,2026-08-24T11:50:18Z
ab_batcher_sort,8192,3,1,3.24239,2.43551,32.3266,38.0141,944.423,3089725,3fec8a9,2026-08-24T11:50:57Z
ab_batcher_sort,8192,3,2,3.24748,2.42318,32.2181,37.9006,944.423,3089725,3fec8a9,2026-08-24T11:51:36Z
ab_batcher_sort,8192,3,3,3.34257,2.44162,31.8362,37.6295,944.423,3089725,3fec8a9,2026-08-24T11:52:13Z
ab_batcher_sort,8192,3,4,3.54528,2.63802,34.4807,40.674,944.423,3089725,3fec8a9,2026-08-24T11:52:54Z
ab_batcher_sort,8192,3,5,3.24844,2.50372,32.689,38.4502,944.423,3089725,3fec8a9,2026-08-24T11:53:33Z
